date,nama_kabupaten_kota,produksi_padi
2018-05-01,KOTA CIMAHI,0
2018-05-01,KOTA CIREBON,0
2018-05-01,KABUPATEN PURWAKARTA,7665
2018-05-01,KABUPATEN KUNINGAN,18270
2018-05-01,KABUPATEN CIAMIS,20985
2018-05-01,KABUPATEN SUKABUMI,36897
2018-05-01,KABUPATEN MAJALENGKA,26669
2018-05-01,KABUPATEN BOGOR,36418
2018-05-01,KABUPATEN PANGANDARAN,3811
2018-05-01,KOTA SUKABUMI,1370
2018-05-01,KABUPATEN CIREBON,57751
2018-05-01,KABUPATEN BANDUNG BARAT,5710
2018-05-01,KOTA BANJAR,448
2018-05-01,KABUPATEN CIANJUR,44744
2018-05-01,KOTA BOGOR,113
2018-06-01,KABUPATEN GARUT,47396
2018-06-01,KABUPATEN BOGOR,24022
2018-06-01,KOTA BOGOR,102
2018-06-01,KABUPATEN PANGANDARAN,588
2018-06-01,KOTA BANJAR,325
2018-06-01,KABUPATEN CIANJUR,79610
2018-06-01,KOTA TASIKMALAYA,2911
2018-06-01,KABUPATEN BANDUNG,7552
2018-06-01,KABUPATEN SUKABUMI,84189
2018-06-01,KABUPATEN KARAWANG,135087
2018-06-01,KOTA BANDUNG,143
2018-06-01,KOTA SUKABUMI,1189
2018-06-01,KABUPATEN BANDUNG BARAT,21621
2018-06-01,KABUPATEN BEKASI,99784
2018-06-01,KABUPATEN PURWAKARTA,15048
2018-06-01,KOTA CIREBON,410
2018-06-01,KOTA DEPOK,0
2018-06-01,KABUPATEN SUMEDANG,20950
2018-06-01,KABUPATEN SUBANG,57024
2018-06-01,KOTA CIMAHI,0
2018-06-01,KABUPATEN TASIKMALAYA,56236
2018-06-01,KABUPATEN CIREBON,16995
2018-06-01,KOTA BEKASI,33
2018-06-01,KABUPATEN INDRAMAYU,90327
2018-06-01,KABUPATEN CIAMIS,6688
2018-06-01,KABUPATEN MAJALENGKA,42530
2018-06-01,KABUPATEN KUNINGAN,26567
2018-07-01,KOTA BANJAR,4789
2018-07-01,KOTA TASIKMALAYA,8301
2018-07-01,KOTA BOGOR,10
2018-07-01,KABUPATEN SUBANG,62941
2018-07-01,KABUPATEN SUMEDANG,53166
2018-07-01,KOTA BANDUNG,197
2018-07-01,KABUPATEN BEKASI,31396
2018-07-01,KABUPATEN CIAMIS,38643
2018-07-01,KABUPATEN MAJALENGKA,122552
2018-07-01,KOTA BEKASI,396
2018-07-01,KOTA SUKABUMI,1655
2018-07-01,KABUPATEN CIANJUR,97842
2018-07-01,KABUPATEN KUNINGAN,59914
2018-07-01,KABUPATEN KARAWANG,69861
2018-07-01,KOTA CIMAHI,95
2018-07-01,KABUPATEN GARUT,55542
2018-07-01,KOTA DEPOK,81
2018-07-01,KOTA CIREBON,215
2018-07-01,KABUPATEN CIREBON,49779
2018-07-01,KABUPATEN BOGOR,41728
2018-07-01,KABUPATEN SUKABUMI,58521
2018-07-01,KABUPATEN INDRAMAYU,99713
2018-07-01,KABUPATEN PURWAKARTA,24757
2018-07-01,KABUPATEN PANGANDARAN,26639
2018-07-01,KABUPATEN BANDUNG,23631
2018-07-01,KABUPATEN TASIKMALAYA,61165
2018-07-01,KABUPATEN BANDUNG BARAT,30473
2018-08-01,KABUPATEN BOGOR,30630
2018-08-01,KABUPATEN PANGANDARAN,56761
2018-08-01,KABUPATEN CIAMIS,49668
2018-08-01,KABUPATEN CIREBON,56345
2018-08-01,KOTA DEPOK,16
2018-08-01,KABUPATEN KUNINGAN,31322
2018-08-01,KABUPATEN BANDUNG BARAT,12866
2018-08-01,KOTA BANJAR,4801
2018-08-01,KABUPATEN BEKASI,26471
2018-08-01,KOTA BANDUNG,260
2018-08-01,KABUPATEN GARUT,35084
2018-08-01,KOTA CIMAHI,24
2018-08-01,KOTA CIREBON,10
2018-08-01,KABUPATEN INDRAMAYU,154208
2018-08-01,KABUPATEN PURWAKARTA,31364
2018-08-01,KABUPATEN BANDUNG,35034
2018-08-01,KABUPATEN MAJALENGKA,46340
2018-08-01,KABUPATEN TASIKMALAYA,45567
2018-08-01,KABUPATEN KARAWANG,52291
2018-08-01,KOTA BOGOR,0
2018-08-01,KOTA TASIKMALAYA,4962
2018-08-01,KABUPATEN CIANJUR,63653
2018-08-01,KABUPATEN SUBANG,86332
2018-08-01,KOTA SUKABUMI,1371
2018-08-01,KOTA BEKASI,147
2018-08-01,KABUPATEN SUKABUMI,26826
2018-08-01,KABUPATEN SUMEDANG,34474
2018-09-01,KOTA DEPOK,0
2018-09-01,KOTA BANDUNG,572
2018-09-01,KOTA TASIKMALAYA,3954
2018-09-01,KOTA BANJAR,6221
2018-09-01,KOTA BOGOR,0
2018-09-01,KOTA CIREBON,121
2018-09-01,KOTA CIMAHI,48
2018-09-01,KOTA BEKASI,93
2018-09-01,KOTA SUKABUMI,1941
2018-09-01,KABUPATEN BEKASI,27920
2018-09-01,KABUPATEN CIAMIS,38563
2018-09-01,KABUPATEN CIREBON,57903
2018-09-01,KABUPATEN INDRAMAYU,214137
2018-09-01,KABUPATEN TASIKMALAYA,35375
2018-09-01,KABUPATEN GARUT,30280
2018-09-01,KABUPATEN MAJALENGKA,36821
2018-09-01,KABUPATEN KARAWANG,86049
2018-09-01,KABUPATEN PURWAKARTA,9610
2018-09-01,KABUPATEN BANDUNG,40445
2018-09-01,KABUPATEN CIANJUR,45342
2018-09-01,KABUPATEN SUMEDANG,17994
2018-09-01,KABUPATEN PANGANDARAN,15122
2018-09-01,KABUPATEN SUKABUMI,28080
2018-09-01,KABUPATEN BOGOR,23307
2018-09-01,KABUPATEN SUBANG,81520
2018-09-01,KABUPATEN BANDUNG BARAT,10995
2018-09-01,KABUPATEN KUNINGAN,21762
2018-10-01,KABUPATEN MAJALENGKA,7846
2018-10-01,KOTA BEKASI,453
2018-10-01,KABUPATEN CIREBON,56791
2018-10-01,KABUPATEN SUMEDANG,15790
2018-10-01,KABUPATEN KUNINGAN,8687
2018-10-01,KOTA BOGOR,8
2018-10-01,KABUPATEN TASIKMALAYA,32497
2018-10-01,KOTA CIMAHI,0
2018-10-01,KABUPATEN GARUT,27472
2018-10-01,KABUPATEN BANDUNG,36047
2018-10-01,KABUPATEN CIANJUR,34955
2018-10-01,KOTA TASIKMALAYA,2100
2018-10-01,KABUPATEN SUKABUMI,22198
2018-10-01,KABUPATEN BOGOR,19488
2018-10-01,KOTA BANJAR,736
2018-10-01,KABUPATEN CIAMIS,15968
2018-10-01,KOTA CIREBON,1
2018-10-01,KOTA DEPOK,50
2018-10-01,KABUPATEN BEKASI,43478
2018-10-01,KABUPATEN PANGANDARAN,2210
2018-10-01,KABUPATEN SUBANG,116840
2018-10-01,KOTA BANDUNG,1894
2018-10-01,KABUPATEN BANDUNG BARAT,5944
2018-10-01,KABUPATEN PURWAKARTA,4682
2018-10-01,KABUPATEN KARAWANG,86824
2018-10-01,KOTA SUKABUMI,1308
2018-10-01,KABUPATEN INDRAMAYU,48321
2018-11-01,KABUPATEN INDRAMAYU,64107
2018-11-01,KABUPATEN KARAWANG,163129
2018-11-01,KABUPATEN TASIKMALAYA,30406
2018-11-01,KABUPATEN GARUT,27950
2018-11-01,KABUPATEN BEKASI,40999
2018-11-01,KOTA CIMAHI,40
2018-11-01,KABUPATEN CIANJUR,29328
2018-11-01,KOTA TASIKMALAYA,2610
2018-11-01,KABUPATEN BANDUNG BARAT,9694
2018-11-01,KABUPATEN SUKABUMI,18415
2018-11-01,KABUPATEN BOGOR,23462
2018-11-01,KABUPATEN PANGANDARAN,0
2018-11-01,KOTA BOGOR,25
2018-11-01,KOTA BANJAR,665
2018-11-01,KOTA SUKABUMI,1085
2018-11-01,KABUPATEN CIAMIS,7277
2018-11-01,KABUPATEN BANDUNG,11232
2018-11-01,KABUPATEN SUMEDANG,21350
2018-11-01,KOTA BEKASI,325
2018-11-01,KABUPATEN SUBANG,74273
2018-11-01,KOTA DEPOK,33
2018-11-01,KABUPATEN CIREBON,20296
2018-11-01,KABUPATEN MAJALENGKA,13572
2018-11-01,KABUPATEN KUNINGAN,16132
2018-11-01,KOTA BANDUNG,1256
2018-11-01,KABUPATEN PURWAKARTA,5973
2018-11-01,KOTA CIREBON,209
2018-12-01,KABUPATEN SUMEDANG,17364
2018-12-01,KABUPATEN BOGOR,14464
2018-12-01,KOTA BOGOR,42
2018-12-01,KOTA CIREBON,60
2018-12-01,KABUPATEN BANDUNG BARAT,5808
2018-12-01,KABUPATEN SUKABUMI,11206
2018-12-01,KABUPATEN MAJALENGKA,8100
2018-12-01,KOTA BANJAR,116
2018-12-01,KOTA TASIKMALAYA,1104
2018-12-01,KABUPATEN INDRAMAYU,9370
2018-12-01,KABUPATEN SUBANG,49682
2018-12-01,KOTA DEPOK,0
2018-12-01,KOTA BANDUNG,198
2018-12-01,KABUPATEN BEKASI,31118
2018-12-01,KABUPATEN CIAMIS,3867
2018-12-01,KABUPATEN PURWAKARTA,6200
2018-12-01,KABUPATEN TASIKMALAYA,22541
2018-12-01,KABUPATEN KARAWANG,110961
2018-12-01,KABUPATEN GARUT,20072
2018-12-01,KABUPATEN KUNINGAN,7647
2018-12-01,KABUPATEN PANGANDARAN,293
2018-12-01,KOTA SUKABUMI,373
2018-12-01,KABUPATEN CIREBON,7001
2018-12-01,KABUPATEN BANDUNG,9209
2018-12-01,KOTA BEKASI,128
2018-12-01,KABUPATEN CIANJUR,18925
2018-12-01,KOTA CIMAHI,0
2019-01-01,KABUPATEN BANDUNG,15445
2019-01-01,KOTA DEPOK,58
2019-01-01,KABUPATEN GARUT,16676
2019-01-01,KOTA BEKASI,0
2019-01-01,KABUPATEN TASIKMALAYA,24329
2019-01-01,KOTA CIREBON,14
2019-01-01,KOTA BANDUNG,53
2019-01-01,KABUPATEN CIAMIS,6740
2019-01-01,KOTA SUKABUMI,859
2019-01-01,KABUPATEN KUNINGAN,8789
2019-01-01,KABUPATEN PANGANDARAN,876
2019-01-01,KABUPATEN CIREBON,6870
2019-01-01,KABUPATEN MAJALENGKA,5071
2019-01-01,KABUPATEN BANDUNG BARAT,8740
2019-01-01,KABUPATEN SUMEDANG,7968
